Warehouse,Warehouse Capacity,Item Type,ProductId,Model,Cost Price,Selling price,Quantity
2,8,STEREO,1,LG 230W BLUETOOTH HI-FI SYSTEM CM4360,89.99,99.99,0
1,68,STEREO,2,LG 230W BLUETOOTH HI-FI SYSTEM CM4360,89.99,99.99,49
1,68,STEREO,3,LG 5000W HI-FI ENTERTAINMENT SYSTEM WITH KARAOKE CREATOR CK99,799.99,849.99,55
2,8,STEREO,4,LG 5000W HI-FI ENTERTAINMENT SYSTEM WITH KARAOKE CREATOR CK99,799.99,849.99,5
2,8,TV,5,SAMSUNG QN85QN85A 85INCH SMART TV,2679.99,2729.99,4
1,68,TV,6,SAMSUNG QN85QN85A 85INCH SMART TV,2679.99,2729.99,5
1,68,TV,7,SAMSUNG AU8000 43INCH  CRYSTAL SMART TV,349.99,399.99,1
2,8,TV,8,SAMSUNG AU8000 43INCH  CRYSTAL SMART TV,349.99,399.99,12
1,68,TV,9,SONY KD55X80J 55INCH HDR SMART TV,349.99,399.99,4
1,68,STEREO,10,ECW,1245.0,1456.0,7
